
('123544508',  'TA3015G001',  '8',  'COMPLETE BOROSCOPE SET - MTR',  '',  'GSERD 3015',  '94765068',  '',  '  ',  '100771692',  '',  FALSE,  ''),
('123577664',  'TA3012G001',  '11',  'COMPLETE LIGHT SOURCE KIT',  '',  '',  '94765068',  '',  'COND REPORT 085-19 RELEASEDWFD ORDER 27402 FOR BATTERIES  BY CAROL 19/07/2019 AT  ',  '100915158',  '',  FALSE,  ''),
('123577664',  'TA3012G001',  '8',  'COMPLETE LIGHT SOURCE KIT',  '',  '',  '94765068',  '',  '  ',  '100915156',  '',  FALSE,  ''),
('123593626',  'T304P50010051',  'N/A',  'WIPER ARM HOLDING DEVICE',  '',  'GSERD 2142',  '94765068',  '',  '  ',  '1AVN-1002211770',  '',  FALSE,  ''),
('123593626',  'T304P50010051',  'N/A',  'WIPER ARM HOLDING DEVICE',  '',  'GSERD 2142',  '94765068',  '',  '  ',  '1AVN-1002211771',  '',  FALSE,  ''),
('123593626',  'T304P50010051',  'N/A',  'WIPER ARM HOLDING DEVICE',  '',  'GSERD 2142',  '94765068',  '',  '  ',  '1AVN-1002211774',  '',  FALSE,  ''),
('123593626',  'T304P50010051',  'N/A',  'WIPER ARM HOLDING DEVICE',  '',  'GSERD 2142',  '94765068',  '',  '  ',  '1AVN-1002211775',  '',  FALSE,  ''),
('123593626',  'T304P50010051',  'N/A',  'WIPER ARM HOLDING DEVICE',  '',  'GSERD 2142',  '94765068',  '',  '  ',  '1AVN-1002211778',  '',  FALSE,  ''),
('123593626',  'T304P50010051',  'N/A',  'WIPER ARM HOLDING DEVICE',  '',  'GSERD 2142',  '94765068',  '',  '  ',  '1AVN-1002211779',  '',  FALSE,  '\\applicationdata\applicationdata\DATA\WFD\Pictures\123593626.JPG'),
('123593627',  'T622P3001051',  '27',  'ROTOR HEAD HOLDING DEVICE',  '',  'GSERD 2042',  '94765068',  '',  '  ',  '1002211347',  '',  FALSE,  '\\applicationdata\applicationdata\DATA\WFD\Pictures\123593627.JPG'),
('123593627',  'T622P3001051',  '28',  'ROTOR HEAD HOLDING DEVICE',  '',  'GSERD 2042',  '94765068',  '',  '  ',  '1002211348',  '',  FALSE,  ''),
('123593628',  'T622P3005051',  '17',  'MRH Connecting Bush Replacement Tool',  '',  'GSERD 2051',  '94765068',  '',  '  ',  '1AVN-1913',  '',  FALSE,  '\\applicationdata\applicationdata\DATA\WFD\Pictures\123593628.JPG'),
